model,metric,dataset,slope,p_val
llama,PPL,wmt19_lten,-0.04552893864651341,7.687008053092392e-05
llama,MTE,wmt19_lten,-0.08108235974653044,8.902098631222117e-15
llama,MCSE,wmt19_lten,0.45348389111825194,0.0
llama,MCNSE,wmt19_lten,-0.004598383540389628,0.7343139189856002
llama,LSRL,wmt19_lten,0.08615758257584286,1.7952143610203836e-08
gemma,MSP,wmt14_deen,0.3954153353237482,3.408941486434963e-285
gemma,PPL,wmt14_deen,-0.07622080758353483,3.2359553775220964e-08
gemma,MTE,wmt14_deen,-0.11809462113812755,6.78992894421073e-21
gemma,MCSE,wmt14_deen,0.4863034299900036,0.0
gemma,MCNSE,wmt14_deen,0.009341494419917398,0.5257555806431745
gemma,LSRL,wmt14_deen,0.04608783415101588,0.0009206972262832158
gemma,MSP,wmt14_fren,0.485285294237522,1.8654069640427348e-284
gemma,PPL,wmt14_fren,-0.08761947331173961,8.560955039194427e-23
gemma,MTE,wmt14_fren,-0.13768087602110554,6.334459489084059e-45
gemma,MCSE,wmt14_fren,0.5670077277567164,0.0
gemma,MCNSE,wmt14_fren,-0.05178601823428713,1.0722154769332887e-05
gemma,LSRL,wmt14_fren,0.02761277112728965,0.035007633063947885
gemma,MSP,wmt14_csen,0.5507568348726435,0.0
gemma,PPL,wmt14_csen,-0.048676332301917535,3.2042158561025294e-05
gemma,MTE,wmt14_csen,-0.0998539854820687,2.050582717496458e-18
gemma,MCSE,wmt14_csen,0.587240860587252,0.0
gemma,MCNSE,wmt14_csen,0.016733244853532222,0.22625479910740898
gemma,LSRL,wmt14_csen,0.04457306540787788,0.0007644996792842531
gemma,MSP,wmt14_ruen,0.37700426969409345,0.0
gemma,PPL,wmt14_ruen,-0.17466386951640836,4.612964677521216e-65
gemma,MTE,wmt14_ruen,-0.23648539195986795,1.4324296781434983e-100
gemma,MCSE,wmt14_ruen,0.4851011009456684,0.0
gemma,MCNSE,wmt14_ruen,-0.1365061678948684,7.016368525880816e-28
gemma,LSRL,wmt14_ruen,-0.16700370133328224,1.3792333820289965e-25
gemma,MSP,wmt19_ruen,0.6310986960169485,0.0
gemma,PPL,wmt19_ruen,-0.05540226904047291,1.3362371817063828e-09
gemma,MTE,wmt19_ruen,-0.1064808078670902,4.372987515298906e-26
gemma,MCSE,wmt19_ruen,0.5907446447676454,0.0
gemma,MCNSE,wmt19_ruen,-0.0659582182876502,1.016694128472238e-06
gemma,LSRL,wmt19_ruen,-0.024590439843402912,0.08442536991598154
gemma,MSP,wmt19_fien,0.505759064636308,1.05987827e-315
gemma,PPL,wmt19_fien,-0.0035856591994650974,0.7904258148622032
gemma,MTE,wmt19_fien,-0.05680714508869467,0.00010074300669842409
gemma,MCSE,wmt19_fien,0.5069024105216444,0.0
gemma,MCNSE,wmt19_fien,0.0026572787405882265,0.8364852519426745
gemma,LSRL,wmt19_fien,0.08534109412926864,8.145127915675517e-09
gemma,MSP,wmt19_deen,0.3763756585662658,5.515849395900718e-308
gemma,PPL,wmt19_deen,-0.029229367572604227,0.007888716921492622
gemma,MTE,wmt19_deen,-0.09174299544689848,1.3764950616570152e-15
gemma,MCSE,wmt19_deen,0.32228940717102617,4.268063182318976e-288
gemma,MCNSE,wmt19_deen,-0.027718524019892457,0.029268467993367003
gemma,LSRL,wmt19_deen,0.04822089621253298,0.0005977466562720776
gemma,MSP,wmt19_lten,0.5666361837610937,0.0
gemma,PPL,wmt19_lten,-0.01856238556750189,0.02873879036715923
gemma,MTE,wmt19_lten,-0.06479106451233788,4.2640438444511865e-09
gemma,MCSE,wmt19_lten,0.3976351386921382,0.0
gemma,MCNSE,wmt19_lten,0.0005957951053058438,0.962117775583542
gemma,LSRL,wmt19_lten,0.08985120382999177,1.3229804866360977e-10
