Metric,Dataset,Model,Method,ScoreType,Score
MetricX-XXL,wmt19_fien,EuroLLM 9B,MSP,Detrended,0.3792233995133356
MetricX-XXL,wmt19_fien,EuroLLM 9B,PPL,Raw,0.4446047650798497
MetricX-XXL,wmt19_fien,EuroLLM 9B,PPL,Detrended,0.44840578575021717
MetricX-XXL,wmt19_fien,EuroLLM 9B,MTE,Raw,0.48582598594548343
MetricX-XXL,wmt19_fien,EuroLLM 9B,MTE,Detrended,0.4842958284933833
MetricX-XXL,wmt19_fien,EuroLLM 9B,MCSE,Raw,0.09772297899375514
MetricX-XXL,wmt19_fien,EuroLLM 9B,MCSE,Detrended,0.39006555710827456
MetricX-XXL,wmt19_fien,EuroLLM 9B,MCNSE,Raw,0.32400122351921795
MetricX-XXL,wmt19_fien,EuroLLM 9B,MCNSE,Detrended,0.3359713122881491
MetricX-XXL,wmt19_fien,EuroLLM 9B,LSRL,Raw,0.3026860499566757
MetricX-XXL,wmt19_fien,EuroLLM 9B,LSRL,Detrended,0.33340806640874726
MetricX-XXL,wmt19_lten,EuroLLM 9B,MSP,Raw,0.1549509011660918
MetricX-XXL,wmt19_lten,EuroLLM 9B,MSP,Detrended,0.3197797677297967
MetricX-XXL,wmt19_lten,EuroLLM 9B,PPL,Raw,0.402737876232832
MetricX-XXL,wmt19_lten,EuroLLM 9B,PPL,Detrended,0.4198919269330747
MetricX-XXL,wmt19_lten,EuroLLM 9B,MTE,Raw,0.42394083864825444
MetricX-XXL,wmt19_lten,EuroLLM 9B,MTE,Detrended,0.46566812490872117
MetricX-XXL,wmt19_lten,EuroLLM 9B,MCSE,Raw,0.25358759684348325
MetricX-XXL,wmt19_lten,EuroLLM 9B,MCSE,Detrended,0.356701277529929
MetricX-XXL,wmt19_lten,EuroLLM 9B,MCNSE,Raw,0.26413261855332093
MetricX-XXL,wmt19_lten,EuroLLM 9B,MCNSE,Detrended,0.2526978814980483
MetricX-XXL,wmt19_lten,EuroLLM 9B,LSRL,Raw,0.30675995994487265
MetricX-XXL,wmt19_lten,EuroLLM 9B,LSRL,Detrended,0.3047488045636456
MetricX-XXL,wmt19_ruen,EuroLLM 9B,MSP,Raw,0.28354586045070035
MetricX-XXL,wmt19_ruen,EuroLLM 9B,MSP,Detrended,0.37363454828562465
MetricX-XXL,wmt19_ruen,EuroLLM 9B,PPL,Raw,0.33443638790225294
MetricX-XXL,wmt19_ruen,EuroLLM 9B,PPL,Detrended,0.3461796732699619
MetricX-XXL,wmt19_ruen,EuroLLM 9B,MTE,Raw,0.36113171647000497
MetricX-XXL,wmt19_ruen,EuroLLM 9B,MTE,Detrended,0.39891265780507723
MetricX-XXL,wmt19_ruen,EuroLLM 9B,MCSE,Raw,0.27277411459326484
MetricX-XXL,wmt19_ruen,EuroLLM 9B,MCSE,Detrended,0.33899134163308553
MetricX-XXL,wmt19_ruen,EuroLLM 9B,MCNSE,Raw,0.2141300628365373
MetricX-XXL,wmt19_ruen,EuroLLM 9B,MCNSE,Detrended,0.22362890645294078
MetricX-XXL,wmt19_ruen,EuroLLM 9B,LSRL,Raw,0.196564512003171
MetricX-XXL,wmt19_ruen,EuroLLM 9B,LSRL,Detrended,0.20101738817954226
Comet WMT22,wmt14_csen,EuroLLM 9B,MSP,Raw,0.29297723874386566
Comet WMT22,wmt14_csen,EuroLLM 9B,MSP,Detrended,0.33651565830505253
Comet WMT22,wmt14_csen,EuroLLM 9B,PPL,Raw,0.5051788647626327
Comet WMT22,wmt14_csen,EuroLLM 9B,PPL,Detrended,0.5506964307506693
Comet WMT22,wmt14_csen,EuroLLM 9B,MTE,Raw,0.5247172972858595
Comet WMT22,wmt14_csen,EuroLLM 9B,MTE,Detrended,0.5899700107356209
Comet WMT22,wmt14_csen,EuroLLM 9B,MCSE,Raw,0.3511622913544907
Comet WMT22,wmt14_csen,EuroLLM 9B,MCSE,Detrended,0.46238945877457854
Comet WMT22,wmt14_csen,EuroLLM 9B,MCNSE,Raw,0.22516026963927746
Comet WMT22,wmt14_csen,EuroLLM 9B,MCNSE,Detrended,0.22475960495259512
Comet WMT22,wmt14_csen,EuroLLM 9B,LSRL,Raw,0.31715217573867377
Comet WMT22,wmt14_csen,EuroLLM 9B,LSRL,Detrended,0.31564942554952535
Comet WMT22,wmt14_deen,EuroLLM 9B,MSP,Raw,0.3317633239239606
Comet WMT22,wmt14_deen,EuroLLM 9B,MSP,Detrended,0.4542964462549811
Comet WMT22,wmt14_deen,EuroLLM 9B,PPL,Raw,0.5049417287784129
Comet WMT22,wmt14_deen,EuroLLM 9B,PPL,Detrended,0.5356621119179725
Comet WMT22,wmt14_deen,EuroLLM 9B,MTE,Raw,0.5165715683514618
Comet WMT22,wmt14_deen,EuroLLM 9B,MTE,Detrended,0.556463441002163
Comet WMT22,wmt14_deen,EuroLLM 9B,MCSE,Raw,0.3588279143001
Comet WMT22,wmt14_deen,EuroLLM 9B,MCSE,Detrended,0.4653580094311107
Comet WMT22,wmt14_deen,EuroLLM 9B,MCNSE,Raw,0.3567820614965771
Comet WMT22,wmt14_deen,EuroLLM 9B,MCNSE,Detrended,0.3600603161459201
Comet WMT22,wmt14_deen,EuroLLM 9B,LSRL,Raw,0.37517169479923623
Comet WMT22,wmt14_deen,EuroLLM 9B,LSRL,Detrended,0.3755966951450808
Comet WMT22,wmt14_ruen,EuroLLM 9B,MSP,Raw,0.42270688419753316
Comet WMT22,wmt14_ruen,EuroLLM 9B,MSP,Detrended,0.48143914953216255
Comet WMT22,wmt14_ruen,EuroLLM 9B,PPL,Raw,0.4335391795216228
Comet WMT22,wmt14_ruen,EuroLLM 9B,PPL,Detrended,0.4985522537213518
Comet WMT22,wmt14_ruen,EuroLLM 9B,MTE,Raw,0.45563488662891766
Comet WMT22,wmt14_ruen,EuroLLM 9B,MTE,Detrended,0.5275762836219339
Comet WMT22,wmt14_ruen,EuroLLM 9B,MCSE,Raw,0.4239800053615889
Comet WMT22,wmt14_ruen,EuroLLM 9B,MCSE,Detrended,0.4480625234896278
Comet WMT22,wmt14_ruen,EuroLLM 9B,MCNSE,Raw,0.28236037792387975
Comet WMT22,wmt14_ruen,EuroLLM 9B,MCNSE,Detrended,0.35162216751184194
Comet WMT22,wmt14_ruen,EuroLLM 9B,LSRL,Raw,0.31440259987242025
Comet WMT22,wmt14_ruen,EuroLLM 9B,LSRL,Detrended,0.37194758881770656
Comet WMT22,wmt14_fren,EuroLLM 9B,MSP,Raw,0.23792238950538458
Comet WMT22,wmt14_fren,EuroLLM 9B,MSP,Detrended,0.3226015228071154
Comet WMT22,wmt14_fren,EuroLLM 9B,PPL,Raw,0.43969643090250027
Comet WMT22,wmt14_fren,EuroLLM 9B,PPL,Detrended,0.4798647013806186
Comet WMT22,wmt14_fren,EuroLLM 9B,MTE,Raw,0.4660276871996841
Comet WMT22,wmt14_fren,EuroLLM 9B,MTE,Detrended,0.5267402977769211
Comet WMT22,wmt14_fren,EuroLLM 9B,MCSE,Raw,0.283117118764891
Comet WMT22,wmt14_fren,EuroLLM 9B,MCSE,Detrended,0.39216727009709035
Comet WMT22,wmt14_fren,EuroLLM 9B,MCNSE,Raw,0.22111983350603664
Comet WMT22,wmt14_fren,EuroLLM 9B,MCNSE,Detrended,0.21931570723736352
