Metric,Dataset,Model,Method,ScoreType,Score
MetricX-XXL,wmt19_lten,Llama 3.1 8B,MCNSE,Detrended,0.4378060184057857
MetricX-XXL,wmt19_lten,Llama 3.1 8B,LSRL,Raw,0.4160549461015525
MetricX-XXL,wmt19_lten,Llama 3.1 8B,LSRL,Detrended,0.3982703640415839
MetricX-XXL,wmt19_ruen,Llama 3.1 8B,MSP,Raw,0.2637615152781679
MetricX-XXL,wmt19_ruen,Llama 3.1 8B,MSP,Detrended,0.354657349628274
MetricX-XXL,wmt19_ruen,Llama 3.1 8B,PPL,Raw,0.31059656919040257
MetricX-XXL,wmt19_ruen,Llama 3.1 8B,PPL,Detrended,0.39595676292222504
MetricX-XXL,wmt19_ruen,Llama 3.1 8B,MTE,Raw,0.3558903496322687
MetricX-XXL,wmt19_ruen,Llama 3.1 8B,MTE,Detrended,0.4543923396348868
MetricX-XXL,wmt19_ruen,Llama 3.1 8B,MCSE,Raw,0.21288636066474342
MetricX-XXL,wmt19_ruen,Llama 3.1 8B,MCSE,Detrended,0.2746162551092833
MetricX-XXL,wmt19_ruen,Llama 3.1 8B,MCNSE,Raw,0.3236881315416644
MetricX-XXL,wmt19_ruen,Llama 3.1 8B,MCNSE,Detrended,0.3606491751660464
MetricX-XXL,wmt19_ruen,Llama 3.1 8B,LSRL,Raw,0.31106989290061066
MetricX-XXL,wmt19_ruen,Llama 3.1 8B,LSRL,Detrended,0.3260555121087192
MetricX-XXL,wmt14_csen,Gemma 2 9B,MSP,Raw,0.18910382031898135
MetricX-XXL,wmt14_csen,Gemma 2 9B,MSP,Detrended,0.3923846472593016
MetricX-XXL,wmt14_csen,Gemma 2 9B,PPL,Raw,0.4245027775029517
MetricX-XXL,wmt14_csen,Gemma 2 9B,PPL,Detrended,0.42910825963028265
MetricX-XXL,wmt14_csen,Gemma 2 9B,MTE,Raw,0.4499607660775961
MetricX-XXL,wmt14_csen,Gemma 2 9B,MTE,Detrended,0.46338603484578
